province,travel_hubei,travel_wuhan
Zhejiang,89.83,30.8
Jiangsu,103.4,40.06
Shanghai,49.92,21.64
Anhui,135.88,53.04
Jiangxi,167.04,49.46
Henan,361.6,122.92
Guangdong,183.16,54.88
Shandong,65.54,27.71
Beijing,62.15,29.45
Fujian,57.46,21.05
Hunan,324.66,81.61
Hebei,52.79,22.69
Shaanxi,82,18.1
Sichuan,93.77,29.77
Yunnan,34.49,14.43
Chongqing,167.63,28.62
Guizhou,53.43,17.81
Guangxi,48.66,20.04
Liaoning,16.93,8.62
Shanxi,31.35,14.34
Heilongjiang,12.94,6.78
Tianjin,10.68,4.72
Hainan,20.85,10.21
Jilin,8.6,4.21
Gansu,24.16,9.19
Neimenggu,9.47,4.75
Xinjiang,11.45,6.3
Ningxia,5.04,2.47
Qinghai,4.36,1.85
Xizang,1.54,0.58
